Commune;Codepos;Departement;INSEE
AGOS VIDALOS;65400;HAUTES PYRENEES;65004
AGRIS;16110;CHARENTE;16003
AGUDELLE;17500;CHARENTE MARITIME;17002
AGUESSAC;12520;AVEYRON;12002
AGUILCOURT;2190;AISNE;2005
AGUTS;81470;TARN;81001
AGY;14400;CALVADOS;14003
AHAXE ALCIETTE BASCASSAN;64220;PYRENEES ATLANTIQUES;64008
AHETZE;64210;PYRENEES ATLANTIQUES;64009
AHEVILLE;88500;VOSGES;88002
AHUILLE;53940;MAYENNE;53001
AHUN;23150;CREUSE;23001
AHUY;21121;COTE D'OR;21003
AIBES;59149;NORD;59003
AIBRE;25750;DOUBS;25008
AICIRITS CAMOU SUHAST;64120;PYRENEES ATLANTIQUES;64010
AIFFRES;79230;DEUX SEVRES;79003
AIGALIERS;30700;GARD;30001
AIGLEMONT;8090;ARDENNES;8003
AIGLEPIERRE;39110;JURA;39006
AIGLEVILLE;27120;EURE;27004
AIGLUN;4510;ALPES DE HAUTE PROVENCE;4001
AIGLUN;6910;ALPES MARITIMES;6001
AIGNAN;32290;GERS;32001
AIGNAY LE DUC;21510;COTE D'OR;21004
AIGNE;34210;HERAULT;34006
AIGNE;72650;SARTHE;72001
AIGNERVILLE;14710;CALVADOS;14004
AIGNES;31550;HAUTE GARONNE;31002
AIGNES ET PUYPEROUX;16190;CHARENTE;16004
AIGNEVILLE;80210;SOMME;80008
AIGNY;51150;MARNE;51003
AIGONNAY;79370;DEUX SEVRES;79004
AIGRE;16140;CHARENTE;16005
AIGREFEUILLE;31280;HAUTE GARONNE;31003
AIGREFEUILLE D AUNIS;17290;CHARENTE MARITIME;17003
AIGREFEUILLE SUR MAINE;44140;LOIRE ATLANTIQUE;44002
AIGREMONT;30350;GARD;30002
AIGREMONT;52400;HAUTE MARNE;52002
AIGREMONT;78240;YVELINES;78007
AIGREMONT;89800;YONNE;89002
AIGUEBELETTE LE LAC;73610;SAVOIE;73001
AIGUEBELLE;73220;SAVOIE;73002
AIGUEBLANCHE;73260;SAVOIE;73003
AIGUEFONDE;81200;TARN;81002
AIGUEPERSE;63260;PUY DE DOME;63001
AIGUEPERSE;69790;RHONE;69002
AIGUES JUNTES;9240;ARIEGE;9001
AIGUES MORTES;30220;GARD;30003
AIGUES VIVES;9600;ARIEGE;9002
AIGUES VIVES;11800;AUDE;11001
AIGUES VIVES;30670;GARD;30004
AIGUES VIVES;34210;HERAULT;34007
AIGUEZE;30760;GARD;30005
AIGUILHE;43000;HAUTE LOIRE;43002
AIGUILLES;5470;HAUTES ALPES;5003
AIGUILLON;47190;LOT ET GARONNE;47004
AIGUINES;83630;VAR;83002
AIGURANDE;36140;INDRE;36001
AILEFROIDE;5340;HAUTES ALPES;5900
AILHON;7200;ARDECHE;7002
AILLANT SUR MILLERON;45230;LOIRET;45002
AILLANT SUR THOLON;89110;YONNE;89003
AILLAS;33124;GIRONDE;33002
AILLEUX;42130;LOIRE;42002
AILLEVANS;70110;HAUTE SAONE;70005
AILLEVILLE;10200;AUBE;10002
AILLEVILLERS ET LYAUMONT;70320;HAUTE SAONE;70006
AILLIANVILLE;52700;HAUTE MARNE;52003
AILLIERES BEAUVOIR;72600;SARTHE;72002
AILLON LE JEUNE;73340;SAVOIE;73004
AILLON LE VIEUX;73340;SAVOIE;73005
AILLONCOURT;70300;HAUTE SAONE;70007
AILLY;27600;EURE;27005
AILLY LE HAUT CLOCHER;80690;SOMME;80009
AILLY SUR MEUSE;55300;MEUSE;55003
AILLY SUR NOYE;80250;SOMME;80010
AILLY SUR SOMME;80470;SOMME;80011
AIMARGUES;30470;GARD;30006
AIME;73210;SAVOIE;73006
AINAC;4000;ALPES DE HAUTE PROVENCE;4002
AINAY LE CHATEAU;3360;ALLIER;3003
AINAY LE VIEIL;18200;CHER;18002
AINCILLE;64220;PYRENEES ATLANTIQUES;64011
AINCOURT;95510;VAL D'OISE;95008
AINCREVILLE;55110;MEUSE;55004
AINGERAY;54460;MEURTHE ET MOSELLE;54007
AINGEVILLE;88140;VOSGES;88003
AINGOULAINCOURT;52230;HAUTE MARNE;52004
AINHARP;64130;PYRENEES ATLANTIQUES;64012
AINHICE MONGELOS;64220;PYRENEES ATLANTIQUES;64013
AINHOA;64250;PYRENEES ATLANTIQUES;64014
AINVELLE;70800;HAUTE SAONE;70008
AINVELLE;88320;VOSGES;88004
AIRAINES;80270;SOMME;80013
AIRAN;14370;CALVADOS;14005
AIRE;8190;ARDENNES;8004
AIRE SUR L ADOUR;40800;LANDES;40001
AIRE SUR LA LYS;62120;PAS DE CALAIS;62014
AIREL;50680;MANCHE;50004
AIRION;60600;OISE;60008
AIRON NOTRE DAME;62180;PAS DE CALAIS;62015
AIRON ST VAAST;62180;PAS DE CALAIS;62016
AIROUX;11320;AUDE;11002
AIRVAULT;79600;DEUX SEVRES;79005
AISEREY;21110;COTE D'OR;21005
AISEY ET RICHECOURT;70500;HAUTE SAONE;70009
AISEY SUR SEINE;21400;COTE D'OR;21006
AISNE;85450;VENDEE;85903
AISONVILLE ET BERNOVILLE;2110;AISNE;2006
AISSEY;25360;DOUBS;25009
AISY SOUS THIL;21390;COTE D'OR;21007
AISY SUR ARMANCON;89390;YONNE;89004
AITI;20244;CORSE;20003
AITON;73220;SAVOIE;73007
AIX;19200;CORREZE;19002
AIX;59310;NORD;59004
AIX EN DIOIS;26150;DROME;26001
AIX EN ERGNY;62650;PAS DE CALAIS;62017
AIX EN ISSART;62170;PAS DE CALAIS;62018
AIX EN OTHE;10160;AUBE;10003
AIX EN PROVENCE;13090;BOUCHES DU RHONE;13001
AIX LA FAYETTE;63980;PUY DE DOME;63002
AIX LES BAINS;73100;SAVOIE;73008
AIX NOULETTE;62160;PAS DE CALAIS;62019
AIXE SUR VIENNE;87700;HAUTE VIENNE;87001
AIZAC;7530;ARDECHE;7003
AIZANVILLE;52120;HAUTE MARNE;52005
AIZE;36150;INDRE;36002
AIZECOURT LE BAS;80240;SOMME;80014
AIZECOURT LE HAUT;80200;SOMME;80015
AIZECQ;16700;CHARENTE;16006
AIZELLES;2820;AISNE;2007
AIZENAY;85190;VENDEE;85003
AIZIER;27500;EURE;27006
AIZY JOUY;2370;AISNE;2008
AJAC;11300;AUDE;11003
AJACCIO;20000;CORSE;20004
AJAIN;23380;CREUSE;23002
AJAT;24210;DORDOGNE;24004
AJIOLA;20243;CORSE;20938
AJONCOURT;57590;MOSELLE;57009
AJOU;27410;EURE;27007
AJOUX;7000;ARDECHE;7004
ALAIGNE;11240;AUDE;11004
ALAINCOURT;2240;AISNE;2009
ALAINCOURT;70210;HAUTE SAONE;70010
ALAINCOURT LA COTE;57590;MOSELLE;57010
ALAIRAC;11290;AUDE;11005
ALAISE;25330;DOUBS;25010
ALAN;31420;HAUTE GARONNE;31005
ALANDO;20212;CORSE;20005
ALATA;20167;CORSE;20006
ALBA LA ROMAINE;7400;ARDECHE;7005
ALBAN;81250;TARN;81003
ALBARET LE COMTAL;48310;LOZERE;48001
ALBARET STE MARIE;48200;LOZERE;48002
ALBAS;11360;AUDE;11006
ALBAS;46140;LOT;46001
ALBE;67220;BAS RHIN;67003
ALBEFEUILLE LAGARDE;82290;TARN ET GARONNE;82001
ALBENS;73410;SAVOIE;73010
ALBEPIERRE BREDONS;15300;CANTAL;15025
ALBERT;80300;SOMME;80016
ALBERTACCE;20224;CORSE;20007
ALBERTVILLE;73200;SAVOIE;73011
ALBESTROFF;57670;MOSELLE;57011
ALBI;81000;TARN;81004
ALBIAC;31460;HAUTE GARONNE;31006
ALBIAC;46500;LOT;46002
ALBIAS;82350;TARN ET GARONNE;82002
ALBIERES;11330;AUDE;11007
ALBIES;9310;ARIEGE;9004
ALBIEZ LE JEUNE;73300;SAVOIE;73012
ALBIEZ MONTROND;73300;SAVOIE;73013
ALBIGNAC;19190;CORREZE;19003
ALBIGNY SUR SAONE;69250;RHONE;69003
ALBINE;81240;TARN;81005
ALBIOSC;4550;ALPES DE HAUTE PROVENCE;4003
ALBITRECCIA;20128;CORSE;20008
ALBON;7190;ARDECHE;7006
ALBON;26140;DROME;26002
ALBOUSSIERE;7440;ARDECHE;7007
ALBUSSAC;19380;CORREZE;19004
ALBY SUR CHERAN;74540;HAUTE SAVOIE;74002
ALCAY ALCABEHETY SUNHARET;64470;PYRENEES ATLANTIQUES;64015
ALDUDES;64430;PYRENEES ATLANTIQUES;64016
ALEMBON;62850;PAS DE CALAIS;62020
ALENCON;61000;ORNE;61001
ALENYA;66200;PYRENEES ORIENTALES;66002
ALERIA;20270;CORSE;20009
ALES;30100;GARD;30007
ALET LES BAINS;11580;AUDE;11008
ALETTE;62650;PAS DE CALAIS;62021
ALEU;9320;ARIEGE;9005
ALEX;74290;HAUTE SAVOIE;74003
ALEXAIN;53240;MAYENNE;53002
ALEYRAC;26770;DROME;26003
ALFORTVILLE;94140;VAL DE MARNE;94002
ALGAJOLA;20220;CORSE;20010
ALGANS;81470;TARN;81006
ALGOLSHEIM;68600;HAUT RHIN;68001
ALGRANGE;57440;MOSELLE;57012
ALIEZE;39270;JURA;39007
ALIGNAN DU VENT;34290;HERAULT;34009
ALINCOURT;8310;ARDENNES;8005
ALINCTHUN;62142;PAS DE CALAIS;62022
ALISE STE REINE;21150;COTE D'OR;21008
ALISSAS;7210;ARDECHE;7008
ALISTRO;20230;CORSE;20939
ALIX;69380;RHONE;69004
ALIXAN;26300;DROME;26004
ALIZAY;27460;EURE;27008
ALLAIN;54170;MEURTHE ET MOSELLE;54008
ALLAINES;80200;SOMME;80017
ALLAINES MERVILLIERS;28310;EURE ET LOIR;28002
ALLAINVILLE;28500;EURE ET LOIR;28003
ALLAINVILLE;78660;YVELINES;78009
ALLAINVILLE EN BEAUCE;45480;LOIRET;45003
ALLAIRE;56350;MORBIHAN;56001
ALLAMONT;54800;MEURTHE ET MOSELLE;54009
ALLAMPS;54112;MEURTHE ET MOSELLE;54010
ALLAN;26780;DROME;26005
ALLANCHE;15160;CANTAL;15001
ALLAND HUY ET SAUSSEUIL;8130;ARDENNES;8006
ALLARMONT;88110;VOSGES;88005
ALLAS BOCAGE;17150;CHARENTE MARITIME;17005
ALLAS CHAMPAGNE;17500;CHARENTE MARITIME;17006
ALLAS LES MINES;24220;DORDOGNE;24006
ALLASSAC;19240;CORREZE;19005
ALLAUCH;13190;BOUCHES DU RHONE;13002
ALLEGRE;30500;GARD;30008
ALLEGRE;43270;HAUTE LOIRE;43003
ALLEINS;13980;BOUCHES DU RHONE;13003
ALLEMAGNE EN PROVENCE;4550;ALPES DE HAUTE PROVENCE;4004
ALLEMANCHE LAUNAY ET SOYE;51260;MARNE;51004
ALLEMANS;24600;DORDOGNE;24007
ALLEMANS DU DROPT;47800;LOT ET GARONNE;47005
ALLEMANT;2320;AISNE;2010
ALLEMANT;51120;MARNE;51005
ALLEMOND;38114;ISERE;38005
ALLENAY;80530;SOMME;80018
ALLENC;48190;LOZERE;48003
ALLENJOIE;25490;DOUBS;25011
ALLENNES LES MARAIS;59251;NORD;59005
ALLENWILLER;67310;BAS RHIN;67004
ALLEREY;21230;COTE D'OR;21009
ALLEREY SUR SAONE;71350;SAONE ET LOIRE;71003
ALLERIOT;71380;SAONE ET LOIRE;71004
ALLERY;80270;SOMME;80019
ALLES SUR DORDOGNE;24480;DORDOGNE;24005
ALLEUZE;15100;CANTAL;15002
ALLEVARD;38580;ISERE;38006
ALLEVES;74540;HAUTE SAVOIE;74004
ALLEX;26400;DROME;26006
ALLEYRAC;43150;HAUTE LOIRE;43004
ALLEYRAS;43580;HAUTE LOIRE;43005
ALLEYRAT;19200;CORREZE;19006
ALLEYRAT;23200;CREUSE;23003
ALLEZ ET CAZENEUVE;47110;LOT ET GARONNE;47006
ALLIANCELLES;51250;MARNE;51006
ALLIAT;9400;ARIEGE;9006
ALLIBAUDIERES;10700;AUBE;10004
ALLICHAMPS;52130;HAUTE MARNE;52006
ALLIER;65360;HAUTES PYRENEES;65005
ALLIERES;9240;ARIEGE;9007
ALLIGNY COSNE;58200;NIEVRE;58002
ALLIGNY EN MORVAN;58230;NIEVRE;58003
ALLINEUC;22460;COTES D'ARMOR;22001
ALLINGES;74200;HAUTE SAVOIE;74005
ALLOGNY;18110;CHER;18004
ALLONDANS;25550;DOUBS;25013
ALLONDAZ;73200;SAVOIE;73014
ALLONDRELLE LA MALMAISON;54260;MEURTHE ET MOSELLE;54011
ALLONNE;60000;OISE;60009
ALLONNE;79130;DEUX SEVRES;79007
ALLONNES;28150;EURE ET LOIR;28004
ALLONNES;49650;MAINE ET LOIRE;49002
ALLONNES;72700;SARTHE;72003
ALLONS;4170;ALPES DE HAUTE PROVENCE;4005
ALLONS;47420;LOT ET GARONNE;47007
ALLONVILLE;80260;SOMME;80020
ALLONZIER LA CAILLE;74350;HAUTE SAVOIE;74006
ALLOS;4260;ALPES DE HAUTE PROVENCE;4006
ALLOUAGNE;62157;PAS DE CALAIS;62023
ALLOUE;16490;CHARENTE;16007
ALLOUIS;18500;CHER;18005
ALLOUVILLE BELLEFOSSE;76190;SEINE MARITIME;76001
ALLUY;58110;NIEVRE;58004
ALLUYES;28800;EURE ET LOIR;28005
ALLY;15700;CANTAL;15003
ALLY;43380;HAUTE LOIRE;43006
ALMAYRAC;81190;TARN;81008
ALMENECHES;61570;ORNE;61002
ALMONT LES JUNIES;12300;AVEYRON;12004
ALO;98610;WALLIS ET FUTUNA;98611
ALOS;9200;ARIEGE;9008
ALOS;81140;TARN;81007
ALOS SIBAS ABENSE;64470;PYRENEES ATLANTIQUES;64017
ALOXE CORTON;21420;COTE D'OR;21010
ALPUECH;12210;AVEYRON;12005
ALQUINES;62850;PAS DE CALAIS;62024
ALRANCE;12430;AVEYRON;12006
ALSTING;57520;MOSELLE;57013
ALTAGENE;20112;CORSE;20011
ALTECKENDORF;67270;BAS RHIN;67005
ALTENACH;68210;HAUT RHIN;68002
ALTENBACH;68760;HAUT RHIN;68003
ALTENHEIM;67490;BAS RHIN;67006
ALTENSTADT;67160;BAS RHIN;67007
ALTHEN DES PALUDS;84210;VAUCLUSE;84001
ALTIANI;20251;CORSE;20012
ALTIER;48800;LOZERE;48004
ALTILLAC;19120;CORREZE;19007
ALTKIRCH;68130;HAUT RHIN;68004
ALTORF;67120;BAS RHIN;67008
ALTRIPPE;57660;MOSELLE;57014
ALTVILLER;57730;MOSELLE;57015
ALTWILLER;67260;BAS RHIN;67009
ALUZE;71510;SAONE ET LOIRE;71005
ALVIGNAC;46500;LOT;46003
ALVIMARE;76640;SEINE MARITIME;76002
ALZEN;9240;ARIEGE;9009
ALZI;20212;CORSE;20013
ALZING;57320;MOSELLE;57016
ALZITONE;20240;CORSE;20940
ALZON;30770;GARD;30009
ALZONNE;11170;AUDE;11009
AMAGE;70280;HAUTE SAONE;70011
AMAGNE;8300;ARDENNES;8008
AMAGNEY;25220;DOUBS;25014
AMAILLOUX;79350;DEUX SEVRES;79008
AMANCE;10140;AUBE;10005
AMANCE;54770;MEURTHE ET MOSELLE;54012
AMANCE;70160;HAUTE SAONE;70012
AMANCEY;25330;DOUBS;25015
AMANCY;74800;HAUTE SAVOIE;74007
AMANGE;39700;JURA;39008
AMANLIS;35150;ILLE ET VILAINE;35002
AMANTY;55130;MEUSE;55005
AMANVILLERS;57111;MOSELLE;57017
AMANZE;71610;SAONE ET LOIRE;71006
AMAREINS;1090;AIN;1003
AMAREINS FRANCHELEINS CES;1090;AIN;1165
AMARENS;81170;TARN;81009
AMATHAY VESIGNEUX;25330;DOUBS;25016
AMAYE SUR ORNE;14210;CALVADOS;14006
AMAYE SUR SEULLES;14310;CALVADOS;14007
AMAZY;58190;NIEVRE;58005
AMBACOURT;88500;VOSGES;88006
AMBARES ET LAGRAVE;33440;GIRONDE;33003
AMBAX;31230;HAUTE GARONNE;31007
AMBAZAC;87240;HAUTE VIENNE;87002
AMBEL;38970;ISERE;38008
AMBENAY;27250;EURE;27009
AMBERAC;16140;CHARENTE;16008
AMBERIEU EN BUGEY;1500;AIN;1004
AMBERIEUX;69480;RHONE;69005
AMBERIEUX EN DOMBES;1330;AIN;1005
AMBERNAC;16490;CHARENTE;16009
AMBERRE;86110;VIENNE;86002
AMBERT;63600;PUY DE DOME;63003
AMBES;33810;GIRONDE;33004
AMBEYRAC;12260;AVEYRON;12007
AMBIALET;81430;TARN;81010
AMBIEGNA;20151;CORSE;20014
AMBIERLE;42820;LOIRE;42003
AMBIEVILLERS;70210;HAUTE SAONE;70013
AMBILLOU;37340;INDRE ET LOIRE;37002
AMBILLOU CHATEAU;49700;MAINE ET LOIRE;49003
AMBILLY;74100;HAUTE SAVOIE;74008
AMBLAINCOURT;55250;MEUSE;55006
AMBLAINVILLE;60110;OISE;60010
AMBLANS ET VELOTTE;70200;HAUTE SAONE;70014
AMBLENY;2290;AISNE;2011
AMBLEON;1300;AIN;1006
AMBLETEUSE;62164;PAS DE CALAIS;62025
AMBLEVILLE;16300;CHARENTE;16010
AMBLEVILLE;95710;VAL D'OISE;95011
AMBLIE;14480;CALVADOS;14008
AMBLIMONT;8210;ARDENNES;8009
AMBLOY;41310;LOIR ET CHER;41001
AMBLY FLEURY;8130;ARDENNES;8010
AMBLY SUR MEUSE;55300;MEUSE;55007
AMBOISE;37400;INDRE ET LOIRE;37003
AMBON;56190;MORBIHAN;56002
AMBONIL;26800;DROME;26007
AMBONNAY;51150;MARNE;51007
AMBONVILLE;52110;HAUTE MARNE;52007
AMBOURVILLE;76480;SEINE MARITIME;76003
AMBRAULT;36120;INDRE;36003
AMBRES;81500;TARN;81011
AMBRICOURT;62310;PAS DE CALAIS;62026
AMBRIEF;2200;AISNE;2012
AMBRIERES;51290;MARNE;51008
AMBRIERES LES VALLEES;53300;MAYENNE;53003
AMBRINES;62127;PAS DE CALAIS;62027
AMBRONAY;1500;AIN;1007
AMBRUGEAT;19250;CORREZE;19008
AMBRUMESNIL;76550;SEINE MARITIME;76004
AMBRUS;47160;LOT ET GARONNE;47008
AMBUTRIX;1500;AIN;1008
AMECOURT;27140;EURE;27010
AMEL SUR L ETANG;55230;MEUSE;55008
AMELECOURT;57170;MOSELLE;57018
AMELIE LES BAINS PALALDA;66110;PYRENEES ORIENTALES;66003
AMENDEUIX ONEIX;64120;PYRENEES ATLANTIQUES;64018
AMENONCOURT;54450;MEURTHE ET MOSELLE;54013
AMENUCOURT;95510;VAL D'OISE;95012
AMEREY;88220;VOSGES;88901
AMES;62190;PAS DE CALAIS;62028
AMETTES;62260;PAS DE CALAIS;62029
AMEUGNY;71460;SAONE ET LOIRE;71007
AMEUVELLE;88410;VOSGES;88007
AMFREVILLE;14860;CALVADOS;14009
AMFREVILLE;50480;MANCHE;50005
AMFREVILLE LA CAMPAGNE;27370;EURE;27011
AMFREVILLE LA MI VOIE;76920;SEINE MARITIME;76005
AMFREVILLE LES CHAMPS;27380;EURE;27012
AMFREVILLE LES CHAMPS;76560;SEINE MARITIME;76006
AMFREVILLE SOUS LES MONTS;27380;EURE;27013
AMFREVILLE SUR ITON;27400;EURE;27014
AMFROIPRET;59144;NORD;59006
AMIENS;80000;SOMME;80021
AMIFONTAINE;2190;AISNE;2013
AMIGNY;50620;MANCHE;50006
AMIGNY ROUY;2700;AISNE;2014
AMILLIS;77120;SEINE ET MARNE;77002
AMILLY;28300;EURE ET LOIR;28006
AMILLY;45200;LOIRET;45004
AMIONS;42260;LOIRE;42004
AMIRAT;6910;ALPES MARITIMES;6002
AMMERSCHWIHR;68770;HAUT RHIN;68005
AMMERZWILLER;68210;HAUT RHIN;68006
AMMEVILLE;14170;CALVADOS;14010
AMNE;72540;SARTHE;72004
AMNEVILLE;57360;MOSELLE;57019
AMONCOURT;70170;HAUTE SAONE;70015
AMONDANS;25330;DOUBS;25017
AMONT ET EFFRENEY;70310;HAUTE SAONE;70016
AMOROTS SUCCOS;64120;PYRENEES ATLANTIQUES;64019
AMOU;40330;LANDES;40002
AMPHION LES BAINS;74500;HAUTE SAVOIE;74931
AMPIAC;12000;AVEYRON;12907
AMPILLY LE SEC;21400;COTE D'OR;21012
AMPILLY LES BORDES;21450;COTE D'OR;21011
AMPLAING;9400;ARIEGE;9010
AMPLEPUIS;69550;RHONE;69006
AMPLIER;62760;PAS DE CALAIS;62030
AMPOIGNE;53200;MAYENNE;53004
AMPONVILLE;77760;SEINE ET MARNE;77003
AMPRIANI;20272;CORSE;20015
AMPUIS;69420;RHONE;69007
AMPUS;83111;VAR;83003
AMURE;79210;DEUX SEVRES;79009
AMY;60310;OISE;60011
ANAA;98760;POLYNESIE FRANCAISE;98711
ANAIS;16560;CHARENTE;16011
ANAIS;17540;CHARENTE MARITIME;17007
ANAN;31230;HAUTE GARONNE;31008
ANCE;64570;PYRENEES ATLANTIQUES;64020
ANCEAUMEVILLE;76710;SEINE MARITIME;76007
ANCEINS;61550;ORNE;61003
ANCELLE;5260;HAUTES ALPES;5004
ANCEMONT;55320;MEUSE;55009
ANCENIS;44150;LOIRE ATLANTIQUE;44003
ANCERVILLE;55170;MEUSE;55010
ANCERVILLE;57580;MOSELLE;57020
ANCERVILLER;54450;MEURTHE ET MOSELLE;54014
ANCEY;21410;COTE D'OR;21013
ANCHAMPS;8500;ARDENNES;8011
ANCHE;37500;INDRE ET LOIRE;37004
ANCHE;86700;VIENNE;86003
